#NEW_CODE	OLD_CODE	NUM_CODE	NAME	TICKETING_NAME	CODE
SRU	2I	156	STAR PERU	NULL	SRU
CRL	SS	923	CORSAIR	CORSE AIR	SS
GMI	ST	246	GERMANIA	GERMANIA	ST
STB	4S	0	STAR AIRWAYS	AEROHONDURAS	STB
STP	8F	470	STP AIRWAYS	STP AIRWAYS	STP
AFL	SU	555	AEROFLOT	AEROFLOT	SU
SUD	SD	200	SUDAN AIRWAYS	SUDAN AIR	SUD
SUS	EZ	0	SUN AIR OF SCANDINAVIA	NULL	SUS
SVA	SV	65	SAUDI ARABIAN AIRLINES	SAUDIARABI	SV
SVA	SV	65	SAUDI ARABIAN AIRLINES	SAUDIARABI	SVA
SVK	GM	0	AIR SLOVAKIA	AIR SLOVAKIA	SVK
SVR	U6	262	URAL AIRLINES	URAL AIRLINES	SVR
NMB	SW	186	AIR NAMIBIA	AIR NAMIBIA	SW
SWA	WN	526	SOUTHWEST AIRLINES TEXAS	SW AIRLINES	SWA
SWG	WG	292	SUNWING AIRLINES INC.	SUNWING AIRL	SWG
SWR	LX	724	SWISS INTERNATIONAL AIRLINES	SWISS	SWR
SWV	GV	0	GRANT AVIATION	AERO FLIGHT	SWV
SRK	SX	772	SKYWORK AIRLINES	SKYWORK AIR	SX
SXS	XQ	564	SUN EXPRESS	SUN EXPRESS	SXS
SCX	SY	337	SUN COUNTRY	SUN COUNTRY	SY
SYL	R3	849	JSC AIRCOMPANY YAKUTIA	YAKUTIA AIR	SYL
SYR	RB	70	SYRIAN ARAB AIRLINES	SYRIAN AIR	SYR
WOW	SZ	429	AIR SOUTHWEST	NULL	SZ
NULL	T0	530	TACA PERU	TRANSAMERICAN	T0
NULL	T1	0	TIK SYSTEMS	NULL	T1
NULL	T2	0	NAKINA AIR SERVICE	TABA AEREOS	T2
NULL	T3	467	EASTERN AIRWAYS	EASTERN AIR	T3
NULL	T4	661	TRIP	TRIP	T4
TUA	T5	542	TURKMENISTAN AIRLINES	TURKMENISTAN	T5
RNX	T6	0	ONETIME AIRLINE	TAVREY AIRCO	T6
NULL	T7	294	TWIN JET	TWIN JET	T7
NULL	T8	0	UNDEFINED	NULL	T8
NULL	T9	0	THAI STAR AIRLINES	VARMLANDSFLYG	T9
TAI	TA	202	TACA INTERNATIONAL AIRLINES	TACA	TA
TAE	EQ	269	TAME LINEA AEREA DEL ECUADOR	TAME	TAE
TAI	TA	202	TACA INTERNATIONAL AIRLINES	TACA	TAI
TAM	JJ	957	TAM LINHAS AEREAS	TAM LINH. AER	TAM
TAN	B4	698	ZANAIR	ZANAIR	TAN
TAO	VW	942	AEROMAR	AEROMAR	TAO
TAP	TP	47	TAP PORTUGAL	TAP PORTUGAL	TAP
TAR	TU	199	TUNISAIR	TUNIS AIR	TAR
TAY	3V	756	TNT AIRWAYS	VIKING AIR	TAY
JAF	TB	0	JETAIRFLY	JETAIRFLY	TB
TBM	HH	283	TABAN AIRLINES	NULL	TBM
TBZ	I3	917	ATA AIRLINES	NULL	TBZ
ATC	TC	197	AIR TANZANIA	NULL	TC
TCV	VR	696	TACV CABO VERDE AIRLINES	T A C V	TCV
TCX	MT	727	THOMAS COOK AIRLINES	NULL	TCX
NULL	TD	432	ATLANTIS EUROPEAN AIRWAYS	ATLANTIS	TD
TDM	TQ	38	TANDEM AERO	NULL	TDM
IGA	TE	0	UNDEFINED	NULL	TE
SCW	TF	276	MALMO AVIATION	MALMO	TF
TFL	OR	178	ARKEFLY	TUI AIRLINES	TFL
THA	TG	217	THAI AIRWAYS INTERNATIONAL	THAI	TG
TGW	TR	388	TIGER AIRWAYS	NULL	TGW
NULL	TH	0	UNDEFINED	NULL	TH
THA	TG	217	THAI AIRWAYS INTERNATIONAL	THAI	THA
THT	TN	244	AIR TAHITI NUI	AIR TAHITI	THT
THY	TK	235	TURKISH AIRLINES	TURKISH	THY
NULL	TI	0	AIR CONTINENTAL AFRICA	BALTIC INT.	TI
GPD	TJ	0	TRADEWIND AVIATION	NULL	TJ
TJK	7J	502	TAJIK AIR	TAJIK AIR	TJK
THY	TK	235	TURKISH AIRLINES	TURKISH	TK
ANO	TL	935	AIRNORTH	AIRNORTH	TL
TLG	IN	0	INVEST AVIA	MACEDONIANAIR	TLG
LAM	TM	68	LAM MOZAMBIQUE	LAM	TM
THT	TN	244	AIR TAHITI NUI	AIR TAHITI	TN
TNA	GE	170	TRANSASIA AIRWAYS	TRANSASIA	TNA
TNR	4E	0	TANANA AIR SERVICE	TANANA AIR	TNR
NULL	TO	0	TRANSAVIA FRANCE	PRESIDENT AIR	TO
TOM	BY	754	THOMSON AIRWAYS LTD	BRITANNIA	TOM
TAP	TP	47	TAP PORTUGAL	TAP PORTUGAL	TP
TPA	QT	0	TAMPA CARGO	REGIONAL	TPA
TPC	TY	190	AIR CALEDONIE	AIRCALEDONI	TPC
TDM	TQ	38	TANDEM AERO	NULL	TQ
TGW	TR	388	TIGER AIRWAYS	NULL	TR
TRA	HV	979	TRANSAVIA AIRLINES	TRANSAVIA	TRA
TRQ	3T	0	TARCO AIR	TURAN AIR	TRQ
TSC	TS	649	AIR TRANSAT	AIR TRANSAT	TS
TSC	TS	649	AIR TRANSAT	AIR TRANSAT	TSC
TSD	R9	418	TAF LINHAS AEREAS	AIR CHARTER	TSD
TSG	Q8	223	TRANS AIR CONGO	TRANS AIR	TSG
TSO	UN	670	TRANSAERO AIRLINES	TRANSAERO	TSO
NULL	TT	0	TIGER AIRWAYS AUSTRALIA	AIR LITHUANIA	TT
TTA	2Z	0	TTA	NULL	TTA
TTF	1F	788	INFINI TRAVEL INFORMATIO	INFINI TRAVEL	TTF
TAR	TU	199	TUNISAIR	TUNIS AIR	TU
TUA	T5	542	TURKMENISTAN AIRLINES	TURKMENISTAN	TUA
TUI	X3	617	TUIFLY	TUIFLY	TUI
NULL	TV	88	TIBET AIRLINES	NULL	TV
TVP	3Z	0	TRAVEL SERVICE POLSKA	NULL	TVP
TVQ	6D	0	TRAVEL SERVICE	ALASKA ISL	TVQ
TVS	QS	797	SMARTWINGS	TRAVELSERVICE	TVS
NULL	TW	722	TWAY AIR	NULL	TW
FWI	TX	427	AIR CARAIBES	AIR CARAIBES	TX
TPC	TY	190	AIR CALEDONIE	AIRCALEDONI	TY
TYA	Y7	476	JSC AIRLINE TAIMYR	SILVERJET	TYA
TYR	VO	734	TYROLEAN AIRWAYS	TYROLEANAIR	TYR
NULL	TZ	668	SCOOT	NULL	TZ
NULL	U0	0	UNDEFINED	NULL	U0
NULL	U1	0	VIDECOM INTERNATIONAL	NULL	U1
EZY	U2	0	EASYJET	EASYJET	U2
AIA	U3	0	AVIES	NULL	U3
NULL	U4	0	BUDDHA AIR	PMT AIR	U4
NULL	U5	0	USA 3000	USA 3000	U5
SVR	U6	262	URAL AIRLINES	URAL AIRLINES	U6
NULL	U7	926	AIR UGANDA	NORCANAIR	U7
NULL	U8	669	ARMAVIA	ARMAVIA	U8
NULL	U9	966	TATARSTAN AIR	TATARSTAN AIR	U9
UAL	UA	16	UNITED AIRLINES	UNITED	UA
UAE	EK	176	EMIRATES	EMIRATES	UAE
UAL	UA	16	UNITED AIRLINES	UNITED	UAL
UBA	UB	209	UNITED MYANMAR AIR	UTD MYANMAR	UB
UBA	UB	209	UNITED MYANMAR AIR	UTD MYANMAR	UBA
LCO	UC	0	LAN CHILE CARGO	LADECO	UC
UCA	C5	841	CHAMPLAIN ENTERPRISES	NULL	UCA
UCR	DW	187	AERO-CHARTER	HELICOPTER SH	UCR
HER	UD	848	HEX AIR	HEX AIR	UD
UDC	7D	897	DONBASSAERO AIRLINES	DONBASSAERO	UDC
UDN	Z6	181	DNIPROAVIA	DNIEPROAVIA	UDN
NULL	UE	770	NASAIR	UAIR	UE
UKM	UF	828	UM AIR	UM AIR	UF
NULL	UG	150	TUNISAIR EXPRESS	TUNINTER	UG
NULL	UH	116	US HELICOPTER CORP	US HELICOPTER	UH
ECA	UI	475	EUROCYPRIA AIRLINES	NULL	UI
UIA	B7	525	UNI AIRWAYS	UNI AIRWAYS	UIA
LMU	UJ	0	ALMASRIA UNIVERSAL AIRLINES	NULL	UJ
NULL	UK	0	UNDEFINED	NULL	UK
UKM	UF	828	UM AIR	UM AIR	UKM
ALK	UL	603	SRILANKAN AIRLINES	SRILANKAN AIR	UL
AZW	UM	168	AIR ZIMBABWE	NULL	UM
TSO	UN	670	TRANSAERO AIRLINES	TRANSAERO	UN
HKE	UO	128	HONG KONG EXPRESS AIRWAYS	HK EXPRESS	UO
BHS	UP	111	BAHAMASAIR	BAHAMASAIR	UP
NULL	UQ	0	BUSINESS AVIATION CENTRE	O'CONNOR	UQ
UTX	UR	0	UTAIR EXPRESS	NULL	UR
URG	3N	746	AIR URGA	AIRVANTAGE	URG
USA	US	37	US AIRWAYS	US AIRWAYS	US
USA	US	37	US AIRWAYS	US AIRWAYS	USA
UTA	UT	298	UTAIR AVIATION JSC	UTAIR	UT
UTA	UT	298	UTAIR AVIATION JSC	UTAIR	UTA
UTX	UR	0	UTAIR EXPRESS	NULL	UTX
REU	UU	760	AIR AUSTRAL	AIR AUSTRAL	UU
NULL	UV	662	HELICOPTEROS DEL SURESTE	HELISURESTE	UV
UVG	UW	751	UNIVERSAL AIRLINES	UNIVERSAL AIR	UVG
UVG	UW	751	UNIVERSAL AIRLINES	UNIVERSAL AIR	UW
AEA	UX	996	AIR EUROPA	AIR EUROPA	UX
UYC	UY	604	CAMEROON AIRLINES	CAMEROONAIR	UY
UYC	UY	604	CAMEROON AIRLINES	CAMEROONAIR	UYC
BRQ	UZ	928	BURAQ AIR	BURAQ AIR	UZ
UZB	HY	250	UZBEKISTAN AIRWAYS	UZBEKISTAN	UZB
VCV	V0	308	CONVIASA	CONVIASA	V0
NULL	V1	0	IBS SOFTWARE SERVICES AMERICAS	NULL	V1
RBY	V2	0	VISION AIRLINES	KARAT JSC	V2
KRP	V3	21	CARPATAIR	VEG AIR SRL	V3
NULL	V4	0	VALAIR	NULL	V4
VPA	V5	0	VIP WINGS	ROYAL ARUBAN	V5
VUE	V6	522	VUELOS INTERNOS PRIVADOS	NULL	V6
SNG	V7	712	VOLOTEA	VOLOTEA	V7
IAR	V8	0	ILIAMNA AIR	CONTACT AIR	V8
HCW	V9	0	STAR1 AIRLINES	NULL	V9
VAU	VA	795	VIRGIN AUSTRALIA INTL	V AUSTRALIA	VA
VAU	VA	795	VIRGIN AUSTRALIA INTL	V AUSTRALIA	VAU
VIV	VB	0	AEROENLACES NACIONALES	NULL	VB
VBW	2J	226	AIR BURKINA	AIR BURKINA	VBW
NULL	VC	471	STRATEGIC AIRLINES	NULL	VC
VCV	V0	308	CONVIASA	CONVIASA	VCV
NULL	VD	981	HENNAN AIRLINES	NULL	VD
VLE	VE	0	C.A.I. SECOND S.P.A.	C.A.I SECOND	VE
VLU	VF	896	VALUAIR	VALUAIR	VF
NULL	VG	0	VLM	NULL	VG
VGN	VK	786	AIR NIGERIA	NULL	VGN
NULL	VH	152	AEROPOSTAL	AEROPOSTAL	VH
NULL	VI	412	VOLGA DNEPR AIRLINE	NULL	VI
VID	WR	0	JSC AVIAPRAD	JSC AVIAPRAD	VID
VIR	VS	932	VIRGIN ATLANTIC	VIRGIN ATL	VIR
VIV	VB	0	AEROENLACES NACIONALES	NULL	VIV
VJC	VJ	0	VIETJET AVIATION	NULL	VJ
VJC	VJ	0	VIETJET AVIATION	NULL	VJC
VGN	VK	786	AIR NIGERIA	NULL	VK
VKG	DK	630	THOMAS COOK AIRLINES A/S	EASTLAND AIR	VKG
VKH	VQ	904	VIKING HELLAS AIRLINES	NULL	VKH
NULL	VL	0	MED VIEW AIRLINES	VANCOUVER AIR	VL
VLE	VE	0	C.A.I. SECOND S.P.A.	C.A.I SECOND	VLE
VLG	VY	30	VUELING AIRLINES	VUELING	VLG
VLK	XF	277	VLADIVOSTOK AIR	VLADIVOSTOK	VLK
VLU	VF	896	VALUAIR	VALUAIR	VLU
NULL	VM	194	MACAIR JET S.A.	VIAGGIO AIR	VM
HVN	VN	738	VIETNAM AIRLINES	VIETNAM AIR	VN
VNA	4W	0	WARBELOWS AIR VENTURES	WARBELOW	VNA
TYR	VO	734	TYROLEAN AIRWAYS	TYROLEANAIR	VO
VOE	V7	712	VOLOTEA	VOLOTEA	VOE
VOI	Y4	36	VOLARIS	EAGLE AVIATN	VOI
VOS	6P	478	GRYPHON AIRLINE	CLUBAIR	VOS
VOZ	DJ	856	VIRGIN AUSTRALIA AIRLINE	VIRGIN AUSTRA	VOZ
VQI	VP	0	VILLA AIR	NULL	VP
VPA	V5	0	VIP WINGS	ROYAL ARUBAN	VPA
VKH	VQ	904	VIKING HELLAS AIRLINES	NULL	VQ
VQI	VP	0	VILLA AIR	NULL	VQI
TCV	VR	696	TACV CABO VERDE AIRLINES	T A C V	VR
VRD	VX	984	VIRGIN AMERICA	VIRGIN USA	VRD
VRR	2R	830	VIA RAIL CANADA INC	VIA RAIL	VRR
VIR	VS	932	VIRGIN ATLANTIC	VIRGIN ATL	VS
VTA	VT	135	AIR TAHITI	AIR TAHITI	VT
VTA	VT	135	AIR TAHITI	AIR TAHITI	VTA
NULL	VU	943	AIR IVOIRE	NULL	VU
VUE	V6	522	VUELOS INTERNOS PRIVADOS	NULL	VUE
AEW	VV	870	AEROSVIT AIRLINES	AEROSWEET	VV
TAO	VW	942	AEROMAR	AEROMAR	VW
VRD	VX	984	VIRGIN AMERICA	VIRGIN USA	VX
VLG	VY	30	VUELING AIRLINES	VUELING	VY
NULL	VZ	0	VELVET SKY AVIATION	NULL	VZ
NULL	W0	0	UNDEFINED	NULL	W0
NULL	W1	0	WORLD TICKET LTD	NULL	W1
FXT	W2	365	FLEXFLIGHT	FLEXFLIGHT	W2
ARA	W3	725	ARIK AIR	ARIK AIR	W3
NULL	W4	107	LC BUSRE	NULL	W4
IRM	W5	537	MAHAN AIRLINES	MAHAN AIR	W5
WZZ	W6	0	WIZZ AIR HUNGARY	NULL	W6
SAH	W7	271	SAYAKHAT AIRLINES	SAYAKHAT AIR	W7
WND	W8	0	CARIBBEAN WINDS AIRLINES	LA COSTENA	W8
NULL	W9	17	AIR BAGAN	AIR BAGAN	W9
KLC	WA	0	KLM CITYHOPPER	KLM CITYHOPP	WA
WAI	WV	0	AIR GRECO	SWE FLY	WAI
WAU	WU	0	WIZZ AIR UKRAINE LLC	NULL	WAU
RWD	WB	459	RWANDAIR EXPRESS	RWANDAIR	WB
ISV	WC	506	ISLENA AIRLINES	ISLENA AIR	WC
AAN	WD	562	AMSTERDAM AIRLINES BV	DAS AIR	WD
NULL	WE	0	RHEINTALFLUG	RHEINTALFLG	WE
WIF	WF	701	WIDEROE	WIDEROE	WF
SWG	WG	292	SUNWING AIRLINES INC.	SUNWING AIRL	WG
NULL	WH	0	WEST AFRICAN AIRLINES	CHINA NW	WH
NULL	WI	97	WHITE AIRWAYS S.A.	NULL	WI
WIA	WM	295	WINDWARD ISLAND AIRWAYS	WINDWARD ISL	WIA
WIF	WF	701	WIDEROE	WIDEROE	WIF
LAL	WJ	927	AIR LABRADOR	LABRADORAIR	WJ
WJA	WS	838	WESTJET	WESTJET	WJA
EDW	WK	0	EDELWEISS AIR	EDELWEISS AIR	WK
NULL	WL	54	AEROPERLAS	AEROPERLAS	WL
WIA	WM	295	WINDWARD ISLAND AIRWAYS	WINDWARD ISL	WM
SWA	WN	526	SOUTHWEST AIRLINES TEXAS	SW AIRLINES	WN
WND	W8	0	CARIBBEAN WINDS AIRLINES	LA COSTENA	WND
WOA	WO	468	WORLD AIRWAYS	NULL	WO
WOA	WO	468	WORLD AIRWAYS	NULL	WOA
WOW	SZ	429	AIR SOUTHWEST	NULL	WOW
NULL	WP	347	ISLAND AIR	ISLAND AIR	WP
NULL	WQ	0	ROMAVIA	NULL	WQ
VID	WR	0	JSC AVIAPRAD	JSC AVIAPRAD	WR
WRC	7W	461	WIND ROSE AVIATION	WIND ROSE	WRC
WJA	WS	838	WESTJET	WESTJET	WS
WSP	1P	523	WORLDSPAN	WORLDSPAN	WSP
NGA	WT	0	WASAYA AIRWAYS	NIGERIA AIR	WT
WAU	WU	0	WIZZ AIR UKRAINE LLC	NULL	WU
WAI	WV	0	AIR GRECO	SWE FLY	WV
WVL	8Z	0	WIZZ AIR BULGARIA AIRLINES	ALASA ISLAND	WVL
BMI	WW	0	BMIBABY	NULL	WW
BCY	WX	689	CITYJET	CITYJET	WX
OAS	WY	910	OMAN AIR	OMAN AIR	WY
RWZ	WZ	309	RED WINGS AIRLINES	NULL	WZ
WZZ	W6	0	WIZZ AIR HUNGARY	NULL	WZZ
NULL	X0	0	UNDEFINED	NULL	X0
NULL	X1	0	UNDEFINED	NULL	X1
NULL	X2	0	CHINA XINHUA AIRLINES	CHINA XINHUA	X2
TUI	X3	617	TUIFLY	TUIFLY	X3
NULL	X4	0	AIR EXCURSIONS	NULL	X4
NULL	X5	0	ULD LOGISTICS LLC	NULL	X5
ATA	X6	889	AIRLINES REPORTING CORP.	ARC	X6
NULL	X7	0	EXEC AIR	AIR SERVICE	X7
DAP	X8	545	ICARO	AEROVIAS DAP	X8
NVD	X9	0	AVION EXPRESS	CITY STAR AIR	X9
NULL	XA	0	UNDEFINED	NULL	XA
XAK	P2	0	AIRKENYA EXPRESS	NULL	XAK
XAX	D7	843	AIRASIAX SDN BHD	AIRASIAX	XAX
NULL	XB	0	IATA	NULL	XB
CAI	XC	0	CORENDON AIRLINES	K D AIR	XC
NULL	XD	0	ARC	NULL	XD
BTA	XE	477	EXPRESSJET AIRLINES INC	NULL	XE
VLK	XF	277	VLADIVOSTOK AIR	VLADIVOSTOK	XF
NULL	XG	0	SUNEXPRESS GERMANY	NULL	XG
NULL	XH	0	NON IATA CODESHARE CARRIER	NULL	XH
NULL	XI	0	UNDEFINED	NULL	XI
MES	XJ	582	MESABA AIRLINES	MESABA AIR	XJ
CCM	XK	146	AIR CORSICA	AIR CORSICA	XK
LNE	XL	462	LANECUADOR AEROLANE SA	LAN ECUADOR	XL
XLF	SE	473	XL AIRWAYS FRANCE	STAR AIRLINES	XLF
SMX	XM	0	C.A.I. FIRST S.P.A.	CAI FIRST SPA	XM
NPL	XN	743	AIR NEPAL INTERNATIONAL	NULL	XN
CXJ	XO	0	LTE INTERNATIONAL AIRWAY	XINJIANG	XO
CXP	XP	0	XTRA AIRWAYS	XTRA AIRWAYS	XP
SXS	XQ	564	SUN EXPRESS	SUN EXPRESS	XQ
NULL	XR	608	SKYWEST AIRLINES	SKYWEST	XR
SIT	XS	950	SITA	NULL	XS
SKT	XT	893	SKYSTAR AIRWAYS	AIR EXEL NL	XT
NULL	XU	0	AFRICAN EXPRESS AIRWAYS	LINK AIRWAYS	XU
BVI	XV	0	BVI AIRWAYS	NULL	XV
NULL	XW	492	UNDEFINED	UNDEFINED	XW
NULL	XX	0	UNDEFINED	NULL	XX
KNE	XY	593	NATIONAL AIR SERVICES	NATIONAL AIR	XY
XYA	2X	799	AMADEUS TWO	AMADEUS TWO	XYA
XYB	6X	172	AMADEUS SIX	AMADEUS SIX	XYB
XYC	7X	791	AMADEUS SEVEN	AMADEUS SEVEN	XYC
XYD	8X	798	AMADEUS EIGHT	AMADEUS EIGHT	XYD
XYS	0E	0	AMADEUS PDF 0E	NULL	XYS
XYW	7S	792	AMADEUS PDF 7S	AMADEUS 7S	XYW
XYX	9S	793	AMADEUS PDF 9S	AMADEUS 9S	XYX
EXY	XZ	0	SOUTH AFRICAN EXPRESS	EASTAIR	XZ
NULL	Y0	0	YELLOW AIRTAXI	YELLOW AIR	Y0
NULL	Y1	392	TRAVEL TECHNOLOGY INTERACTIVE	NULL	Y1
GSM	Y2	0	GLOBESPAN AIRWAYS	NULL	Y2
NULL	Y3	0	WORLDWIDE CARGO SERVICES	NULL	Y3
VOI	Y4	36	VOLARIS	EAGLE AVIATN	Y4
NULL	Y5	0	PACE AIRLINES	NULL	Y5
NULL	Y6	0	BATAVIA AIR	NULL	Y6
TYA	Y7	476	JSC AIRLINE TAIMYR	SILVERJET	Y7
NULL	Y8	0	YANGTZE RIVER EXPRESS	YANGTZE RIVER	Y8
IRK	Y9	780	KISH AIRLINES	TRANS AIR	Y9
NULL	YA	0	NEGO AIRLINE ONE	NULL	YA
NULL	YB	0	UNDEFINED	NULL	YB
LLM	YC	664	YAMAL AIRLINES	YAMAL	YC
NULL	YD	0	MAURITANIA AIRWAYS	NULL	YD
NULL	YE	0	ERAM AIRLINES	NULL	YE
NULL	YF	0	UNDEFINED	NULL	YF
OTL	YG	233	SOUTH AIRLINES	SOUTH AIRLINE	YG
AYG	YH	0	YANGON AIRWAYS	YANGON	YH
RSI	YI	0	AIR SUNSHINE	AIRSUNSHINE	YI
NULL	YJ	0	ASIAN WINGS AIRWAYS	NULL	YJ
NULL	YK	511	AVIA TRAFFIC COMPANY	KIBRIS	YK
NULL	YL	0	CRYSTAL THAI AIRLINES	NULL	YL
MGX	YM	409	MONTENEGRO AIRLINES	MONTENEGRO AL	YM
CRQ	YN	219	AIR CREEBEC	AIR CREEBEC	YN
MCM	YO	747	HELI AIR MONACO	HELIAIRMONA	YO
NULL	YP	0	PERIMETER AVIATION	NULL	YP
POT	YQ	342	POLET AIRLINES	POLET AIRLINE	YQ
EGJ	YR	398	SCENIC AIRLINES	NULL	YR
NULL	YS	977	REGIONAL	REGIONAL CAE	YS
NULL	YT	0	YETI AIRLINES	NULL	YT
MMZ	YU	551	EUROATLANTIC AIRWAYS	NULL	YU
ASH	YV	533	MESA AIRLINES	MESAAIRLINE	YV
ANS	YW	694	AIR NOSTRUM	AIR NOSTRUM	YW
MEP	YX	453	REPUBLIC AIRLINE	REPUBLIC AIRL	YX
NULL	YZ	0	FLYWELL AIRLINES	NULL	YZ
NULL	Z0	0	UNDEFINED	NULL	Z0
NULL	Z1	0	UNDEFINED	NULL	Z1
NULL	Z2	457	ZESTAIR	ZEST AIRWAYS	Z2
NULL	Z3	0	PM AIR LLC	NULL	Z3
NULL	Z4	0	PUMA AIR LINHAS AEREAS	NULL	Z4
NULL	Z5	9	GMG AIRLINES	GMG AIRLINES	Z5
UDN	Z6	181	DNIPROAVIA	DNIEPROAVIA	Z6
FZW	Z7	0	FRESHAIR	EASEON AIR	Z7
NULL	Z8	464	AMASZONAS	NULL	Z8
BEK	Z9	183	JSC BEK AIR	JSC BEK AIR	Z9
NULL	ZA	0	SKYWINGS ASIA AIRLINES	NULL	ZA
MON	ZB	974	MONARCH AIRLINES	NULL	ZB
NULL	ZC	557	KORONGO AIRLINES	KORONGO AIR	ZC
NULL	ZD	338	DOLPHIN AIR	FLYING DANDY	ZD
ESR	ZE	839	EASTAR JET	LINEAS AEREAS	ZE
NULL	ZF	0	ATHENS AIRWAYS	ATHENS AIRWAY	ZF
GOZ	ZG	24	GROZNYY AVIA	NULL	ZG
CSZ	ZH	479	SHENZHEN AIRLINES	SHENZHEN AIRL	ZH
AAF	ZI	439	AIGLE AZUR	AIGLE AZUR	ZI
ZMA	ZJ	707	ZAMBEZI AIRLINES	NULL	ZJ
GLA	ZK	846	GREAT LAKES AVIATION	GREAT LAKES	ZK
NULL	ZL	899	REGIONAL EXPRESS	REGIONAL EXP	ZL
NULL	ZM	0	UNDEFINED	NULL	ZM
ZMA	ZJ	707	ZAMBEZI AIRLINES	NULL	ZMA
NAY	ZN	595	NAYSA	AIR BOURBON	ZN
NULL	ZO	0	CENTRAL AIR TRANSPORT SERVICES	NULL	ZO
NULL	ZP	0	UNDEFINED	NULL	ZP
LOC	ZQ	0	AIR AZUL	CARRIBEAN SUN	ZQ
KHH	ZR	451	ALEXANDRIA AIRLINES	NULL	ZR
NULL	ZS	15	SOL AVIATION	NULL	ZS
NULL	ZT	0	TITAN AIRWAYS	NULL	ZT
NULL	ZU	894	AIR BASHKORTOSTAN	NULL	ZU
IZG	ZV	0	ZAGROS AIRLINES	AIR MIDWEST	ZV
AWI	ZW	303	AIR WISCONSIN	AIRWISCONSI	ZW
GGN	ZX	0	AIR ALLIANCE	NULL	ZX
SHY	ZY	438	SKY AIRLINES	NULL	ZY
NULL	ZZ	0	AIRLINE SERVICE	NULL	ZZ
